"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Game/ParagonSunWukong/Characters/Maps/BackGroundAssets/M_AssetPlatform.M_AssetPlatform","0","23","1","1","40.545097","0","120"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","26","1","0.000000","0","0"
"/Game/ParagonSunWukong/FX/Materials/Game/M_Tri_Test.M_Tri_Test","0","60","8","1","72.075455","0","388"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","0","35","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","0","23","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","0","35","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","0","23","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","50","2","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","58","6","0.000000","0","3"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","87","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","127","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","677","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Game/ThirdPerson/Assets/Peach_Skin.Peach_Skin","0","14","3","1","34.303471","0","78"
"/Game/ThirdPerson/Assets/Peach_skin_2.Peach_skin_2","0","14","3","1","0.000000","0","78"
"/Game/ThirdPerson/Assets/Peach_inside.Peach_inside","0","14","3","1","0.000000","0","78"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","36","1","0.000000","0","0"
"/Bridge/MSPresets/M_MS_Imperfection_Material_VT/M_MS_Imperfection_Material_Var_VT.M_MS_Imperfection_Material_Var_VT","0","0","14","1","0.000000","0","0"
"/Bridge/MSPresets/M_MS_Imperfection_Material/M_MS_Imperfection_Material_Var.M_MS_Imperfection_Material_Var","0","0","14","1","0.000000","0","14"
"/Bridge/MSPresets/M_MS_Default_Material_VT/M_MS_Default_Material_VT.M_MS_Default_Material_VT","0","0","14","1","0.000000","0","0"
"/Bridge/MSPresets/M_MS_Default_Material/M_MS_Default_Material.M_MS_Default_Material","0","0","14","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","0","0","104","1","0.000000","0","0"
"/Engine/MapTemplates/Sky/M_Procedural_Sky_MASTER02.M_Procedural_Sky_MASTER02","0","0","23","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","0","35","1","0.000000","0","0"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","68","1","0.000000","0","0"
"/Game/SajeongjeonComplex/Sajeongmun/MasterMaterial/MM_SJM.MM_SJM","0","26","1","1","52.049786","0","112"
"/Game/SajeongjeonComplex/Sajeongjeon_HG/MasterMaterial/MM_SJJ_HG.MM_SJJ_HG","0","26","1","1","0.000000","0","112"
"/Game/SajeongjeonComplex/Cheonchujeon/Material/M_CCJ_DoorF.M_CCJ_DoorF","0","14","4","1","26.768044","0","63"
"/Game/GeunjeongjeonComplex/Yongmunlu/MasterMaterial/MM_YML_West.MM_YML_West","0","26","1","1","0.000000","0","112"
"/Game/GeunjeongjeonComplex/Yongmulu/MasterMaterial/MM_YML_East.MM_YML_East","0","26","1","1","0.000000","0","112"
"/Game/GeunjeongjeonComplex/RoyalRoad/MasterMaterial/MM_RR.MM_RR","0","26","1","1","0.000000","0","112"
"/Game/GeunjeongjeonComplex/Geunjeongmun/MasterMaterial/MM_GJM.MM_GJM","0","26","1","1","0.000000","0","87"
"/Game/GeunjeongjeonComplex/Geunjeongjeon_HG/MasterMaterial/MM_GJJ_HG.MM_GJJ_HG","0","26","1","1","0.000000","0","87"
"/Game/GeunjeongjeonComplex/Geunjeongjeon/MasterMaterial/MM_GJJ.MM_GJJ","0","26","1","1","0.000000","0","112"
"/Game/SajeongjeonComplex/Sajeongjeon/Material/M_SJJ_WindowPaper.M_SJJ_WindowPaper","0","14","6","1","24.548714","0","57"
"/Game/SajeongjeonComplex/Cheonchujeon/Material/M_CCJ_WindowPaper.M_CCJ_WindowPaper","0","14","6","1","0.000000","0","57"
"/Game/ParagonSunWukong/Characters/Maps/BackGroundAssets/M_HDRSky.M_HDRSky","0","4","4","1","11.041282","0","4"
"/Game/SajeongjeonComplex/Manchunjeon/Material/M_MCJ_FloorC.M_MCJ_FloorC","0","14","2","1","17.387369","0","58"
"/Game/SajeongjeonComplex/Manchunjeon/Material/M_MCJ_DoorB.M_MCJ_DoorB","0","14","2","1","0.000000","0","58"
"/Game/SajeongjeonComplex/Manchunjeon/Material/M_MCJ_DoorA.M_MCJ_DoorA","0","14","2","1","0.000000","0","58"
"/Game/SajeongjeonComplex/Manchunjeon/Material/M_MCJ_chimneyB.M_MCJ_chimneyB","0","14","2","1","0.000000","0","58"
"/Game/SajeongjeonComplex/Manchunjeon/Material/M_MCJ_Celling.M_MCJ_Celling","0","14","2","1","0.000000","0","58"
"/Game/SajeongjeonComplex/Cheonchujeon/Material/M_CCJ_WhiteCelling.M_CCJ_WhiteCelling","0","14","2","1","0.000000","0","58"
"/Game/SajeongjeonComplex/Cheonchujeon/Material/M_CCJ_Wall.M_CCJ_Wall","0","14","2","1","0.000000","0","58"
"/Game/SajeongjeonComplex/Cheonchujeon/Material/M_CCJ_Stereobate02B.M_CCJ_Stereobate02B","0","14","2","1","0.000000","0","58"
"/Game/SajeongjeonComplex/Sajeongjeon/Material/M_SJJ_StairWall.M_SJJ_StairWall","0","14","2","1","0.000000","0","58"
"/Game/SajeongjeonComplex/Sajeongjeon/Material/M_SJJ_StairA.M_SJJ_StairA","0","14","2","1","0.000000","0","58"
"/Game/SajeongjeonComplex/Sajeongjeon/Material/M_SJJ_Soro.M_SJJ_Soro","0","14","2","1","0.000000","0","58"
"/Game/SajeongjeonComplex/Sajeongjeon/Material/M_SJJ_RoofWallB.M_SJJ_RoofWallB","0","14","2","1","0.000000","0","58"
